country_code_2,fiscal_year,gdp_amount
af,2012,19.248
Al,2012,13.808
dz,2012,177.83
ao,2012,118.426
ag,2012,1.322
ar,2012,315.832
am,2012,9.086
au,2012,"1,039.69"
at,2012,406.52
az,2012,58.795
bs,2012,7.786
bh,2012,24.231
bd,2012,114.717
bb,2012,4.03
by,2012,69.146
be,2012,506.004
bz,2012,1.619
bj,2012,8.007
bt,2012,1.83
bo,2012,21.809
ba,2012,20.424
bw,2012,13.64
br,2012,"1,924.29"
bn,2012,16.632
bg,2012,49.867
bf,2012,9.758
bi,2012,1.607
kh,2012,14.434
cm,2012,26.232
ca!,2012,"1,584.48"
cv,2012,2.243
cf,2012,2.428
td,2012,9.112
cl,2012,169.244
cn,2012,"6,524.23"
co,2012,279.366
km,2012,0.635
cd,2012,14.525
cg,2012,13.186
cr,2012,34.316
ci,2012,28.002
hr,2012,70.51
cy,2012,26.684
cz,2012,229.512
dk,2012,354.901
dj,2012,1.466
dm,2012,0.425
do,2012,51.474
ec,2012,65.757
eg,2012,250.911
sv,2012,25.348
gq,2012,15.172
er,2012,2.677
ee,2012,18.62
et,2012,35.509
fj,2012,3.336
fi,2012,271.393
fr,2012,"2,907.44"
Ga,2012,14.042
gm,2012,0.835
ge,2012,12.291
de,2012,"3,397.87"
gh,2012,19.88
gr,2012,367.41
gd,2012,0.762
gt,2012,39.017
gn,2012,5.378
gw,2012,0.515
gy,2012,1.456
ht,2012,7.943
hn,2012,18.151
hk,2012,243.899
hu,2012,149
is,2012,11.864
in,2012,"1,583.43"
id,2012,661.113
ir,2012,403.811
ie,2012,232.09
il,2012,244.806
it,2012,"2,246.55"
jm,2012,13.297
jp,2012,"5,410.70"
jo,2012,28.802
kz,2012,154.444
ke,2012,45.226
ki,2012,0.122
kr,2012,"1,005.74"
kw,2012,154.047
kg,2012,5.54
la,2012,7.069
lv,2012,23.233
lb,2012,40.474
ls,2012,1.842
lr,2012,1.194
ly,2012,90.605
lt,2012,37.627
lu,2012,51.197
mk,2012,10.946
mg,2012,10.384
mw,2012,7.156
my,2012,248.835
mv,2012,1.666
ml,2012,10.853
mt,2012,8.85
mr,2012,4.949
mu,2012,10.146
mx,2012,"1,097.85"
md,2012,5.3
mn,2012,5.775
ma,2012,112.455
mz,2012,11.186
mm,2012,30.733
na,2012,9.865
np,2012,19.097
nl,2012,854.871
nz,2012,123.024
ni,2012,6.589
ne,2012,7.099
ng,2012,215.126
no,2012,428.127
om,2012,67.539
pk,2012,194.27
pa,2012,31.968
pg,2012,8.822
py,2012,15.939
pE,2012,142.051
ph,2012,190.014
pl,2012,476.825
pt,2012,236.978
qa,2012,161.313
ro,2012,211.43
ru,2012,"1,706.34"
rw,2012,6.182
ws,2012,0.673
st,2012,0.221
sa,2012,514.836
sn,2012,15.422
rs,2012,51.111
sc,2012,0.931
sl,2012,2.534
sg,2012,195.882
sk,2012,109.056
!si,2012,57.379
sb,2012,0.896
za,2012,314.635
es,2012,"1,506.20"
lk,2012,44.443
sd,2012,80.811
sr,2012,4.514
sz,2012,3.209
se,2012,495.682
ch,2012,514.088
sy,2012,74.323
tw,2012,443.539
tj,2012,6.342
tz,2012,27.901
th,2012,322.009
tl,2012,0.967
tg,2012,3.247
to,2012,0.314
tt,2012,32.868
tn,2012,46.93
tr,2012,638.419
tm,2012,0
ug,2012,19.648
ua,2012,145.757
ae,2012,298.848
gb,2012,"2,611.27"
us,2012,"16,008.51"
uy,2012,47.355
uz,2012,44.892
vu,2012,0.692
ve,2012,394.106
vn,2012,123.505
ye,2012,37.153
